UserName;Date;Favorites;Retweets;Text
SimonO19;Sat Apr 11 00:34:58 CEST 2015;0;1;@_Liam_Walker_ @OxMailHalliwell @David_Cameron Yes
grumpyoldmn;Sat Apr 11 00:34:04 CEST 2015;6;8;“ @John_Cooper_QC: Latest Poll predicts Labour gaining over 300 seats. Happy Days.” @Conservatives @David_Cameron
GrainnePurkiss;Sat Apr 11 00:33:53 CEST 2015;0;0;" @Leicester_Merc: Rowdy cats threaten to upstage @David_Cameron: http://ow.ly/LqcCG  http://ow.ly/i/aiQMC  " @billytaylor1608
grumpyoldmn;Sat Apr 11 00:33:23 CEST 2015;13;24;“ @PeterDilworth1: @bbclaurak @BBCNewsnight #newsnight sorry it's crude, but it's true #NHS pic.twitter.com/lFhAnKnw5l” @David_Cameron
firemanjohn628;Sat Apr 11 00:28:00 CEST 2015;2;1;@Clos3stToTh3Sun @OpDeathEatersUS @David_Cameron And after we step back YOU BETTER RUN!! #CameronMustGo
amysteron;Sat Apr 11 00:26:41 CEST 2015;0;0;Apparently @David_Cameron made a "promise" or "pledge" of some kind today. He needs to look up the meaning of that term. #GE2015 #UKIP
MervynRandall;Sat Apr 11 00:25:57 CEST 2015;0;0;@David_Cameron Sit on beach, forbid tide to come in #Devaluation As I understand it your freeze is an RPI increase #Inflation @Conservatives
LoveMatters15;Sat Apr 11 00:25:05 CEST 2015;0;0;#Britain, will you stand by and be fooled once more by @David_Cameron's false promises? http://www.bbc.com/news/election-2015-32260220 … We fight for #peace.
Greekboy8;Sat Apr 11 00:23:47 CEST 2015;0;0;RT What are @David_Cameron & his ministers going to do for a shindig over summer? As they can't have a Cobra meeting #Skypapers #Bbcpapers
Mabe_666;Sat Apr 11 00:23:20 CEST 2015;2;6;@Greekboy8 @David_Cameron & the Tories will have to do some more digital shredding after the election to destroy their promises. #skypapers
LoveMatters15;Sat Apr 11 00:23:15 CEST 2015;0;0;More broken promises, @David_Cameron? http://www.bbc.com/news/election-2015-32260220 … #CameronMustGo if our services, our #NHS is to be protected.
SikhFedUK;Sat Apr 11 00:17:46 CEST 2015;0;0;@Ed_Miliband Can we have your Vaisakhi 2015 message. @David_Cameron Vaisakhi message 2015 https://m.youtube.com/watch?v=HLll4XFgNVo … http://fb.me/7fl1RSikD 
