"shoe hurled at singhamduring campaigning forin bihar
watch…"
bad luck for youbjp banned criminal ngos who do illegal conversion
"new bjp whatsapp status check<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>
modidontreadmywhatsapphttp…"
super now the mcd will be held accountable for inactionunless lgbjp declare hc null and void too…
daink jagran editor gives clean chit to bjp cms facing corruption charges how can one even compare vasundhara and shiv raj …
and nw its like vote do bjp ko chodchot do congress ko
if even a stone thrown in bjp ruled states its breaking news but media silent on bengaluru case nirbhayaagain …
"retweeted gaurang vyas 

 pertinent prashikshanabhiyan more thanbig leaders http…"
st genuine admission by any bjp leader that they sold tickets in bihar and they are losing
st genuine admission by any bjp leader that they sold tickets in bihar and they are losing
an introductory speech given by shriatprashikshanabhiyan
bjp guys r justifiably happy with the crowd modi is drawingbut for every modi rallyis doing …
bjp mla sangeet singh som admits he was director of aldua a company that processes halal meat
didnt our expm warn of dire consequences of electg a dictatorial nonsecular regime centreindia emergg dictatorship under bjp
meet the meat king of west up company filings show why bjps som should quit politics as promised …
media is tight lipped on nirbhayaagain amp blacked out news since it happened in cong ruled karnataka they only outrage if…
"mahesh bhatt criticises
bjp filmmakermaheshbhatt ghulamali ghulamaliconcert"
again just to point out odditiesthebjp picked an ally who is a liquor baron and murder accused to help it beat vs a…
i added a video to aplaylisttdp bjp dharnacongress rallybathukammaasha workers arrested
daink jagran editor gives clean chit to bjp cms facing corruption charges how can one even compare vasundhara and shiv raj …
"shoe hurled at singhamduring campaigning forin bihar
watch…"
bjp mla sangeet singh som admits he was director of aldua a company that processes halal meat
"uturn afteryrs
hindus become important now no bigger indication bjp is entering tn…"
bjp urges cm to sack his media adviser
bjps embedded journos running around patna worried why beef is not becoming an issue in bihar elections tch tch
"picwhat bjp promised before elections
picwhat they delivered after elections"
if the farmer is from ktakacongress ruled state rahul blames modi ji if from bjp ruled state thn protest against state govt
daink jagran editor gives clean chit to bjp cms facing corruption charges how can one even compare vasundhara and shiv raj …
if even a stone thrown in bjp ruled states its breaking news but media silent on bengaluru case nirbhayaagain …
another expose by newsin rajasthan where mines have been given to bjp leaders and relatives bjps model of developmen…
does bjp have its scholars who publish research from its own counterpoint who or ignoring the discourse to perpetuate …
aap dekh lena bjp led nda definitely wins biharpollwithmajority
after dadri mob spreads cow killing rumours amp riots in mainpuri this is the murderous lumpen mayhem the bjp amp sangh pariva…
the bjp goons are unable to light the communal tinder in bihar hence they continue stoking the cinder in up shame
"shoe hurled at singhamduring campaigning forin bihar
watch…"
so the media gives nonstop publicity to dadri and then claims that it is a bjp plot to polarize the bihar elections irony…
meat unit equity company filings show why bjps sangeet som should quit politics like he promised…
"my bihar numbers

bjpx swing due torallies

nda 

incis best http…"
"sambit patra aap has no option
raghav chadda yes i agree we dnt have optionwe r nt like bjp who always hv option to over…"
true indians can kill anyone for prideofcowsbjprss ideology
bjps embedded journos running around patna worried why beef is not becoming an issue in bihar elections tch tch
when will bjp and congress investigate their counselors for having built empire of hundreds of crores allegedly out of …
and he will again play with ur religious sentiments and cover ur eyes sothat andhbhakts can vote bjp in elections
baba black money rmdev caught on tape talking money with bjp candidate but what was he hidin m media …
new post bjp vs aap war poster war has been published on
"organizing mega rallies withlakh crowds indifferent locations on the same day not a jokekudos to bihar prade…"
first inspiring session by shree murlidhar rao
"asansol municipal corporation amcelection result
tmc
left
bjp
congress
totalwards
…"
bjp accepts it made mistakes in issuing tickets in bihar
"shoe hurled at singhamduring campaigning forin bihar
watch…"
"picwhat bjp promised before elections
picwhat they delivered after elections"
"shoe hurled at singham ajaydevgn during campaigning for bjpindia in bihar
watch"
if even a stone thrown in bjp ruled states its breaking news but media silent on bengaluru case nirbhayaagain …
companies in which bjp leader sangeet som was a directordesignated partnerincludin al dua food processing pvt ltd http…
bjp narendramodi bjp veteran kailashpati mishras daughterinlaw dilmani devi joins jdu when…
daink jagran editor gives clean chit to bjp cms facing corruption charges how can one even compare vasundhara and shiv raj …
"its a high time for bihar election
bihar is going to elect first time bjp govt in full form
lets spread below msg"
after dadri mob spreads cow killing rumours amp riots in mainpuri this is the murderous lumpen mayhem the bjp amp sangh pariva…
bjp officebearers close ranks against tandon infighting in the local bjp unit over selection of candidates for…
so the media gives nonstop publicity to dadri and then claims that it is a bjp plot to polarize the bihar elections irony…
bjp’s leading antibeef crusader owned a meat exporting company
biharassemblyelections bjp mla dilmani devi joins jdu the sitting mla and daughterinlaw of bjp veteran…
has bought a floor worthcrores in c block sda allegedly from black money when will bj…
"shoe hurled at singhamduring campaigning forin bihar
watch…"
"take permissions forfrom

what to eat bjp
what to hear shivsena
what to wear shriram sena
how to pee sanatan
numbe…"
after dadri mob spreads cow killing rumours amp riots in mainpuri this is the murderous lumpen mayhem the bjp amp sangh pariva…
misquoted its on bjp
fair enoughbut before that you need to read some newspapers before calling a cong min bjp min
up minister azam khan says state govt looking into cases of alleged land grab against bjp mla sangeet som azamsomfight
first session by shree murlidhar rao
"shoe hurled at singhamduring campaigning forin bihar
watch…"
"prediction of satta bazar on bihartoday
cong
 rjd
 jdu
 jdu
 bjp
 nda"
"prideofcows ho ho ho 
bjp the uncivilized barbaric party of indiajyoti basu"
"shoe hurled at singhamduring campaigning forin bihar
watch…"
pertinent prashikshanabhiyan more thanbig leaders of gujarathttp…
st genuine admission by any bjp leader that they sold tickets in bihar and they are losing
"picwhat bjp promised before elections
picwhat they delivered after elections"
bjp govt first clean the dirt in ur mindlol presstitue
"shoe hurled at singhamduring campaigning forin bihar
watch…"
by threatening ghulamali shivsenas burned a bridge between indiapakistanjagjitsingh…
"retweeted gaurang vyas 

 pertinent prashikshanabhiyan more thanbig leaders"
"shoe hurled at singhamduring campaigning forin bihar
watch…"
up minister azam khan says state govt looking into cases of alleged land grab against bjp mla sangeet som
pertinent prashikshanabhiyan more thanbig leaders of gujarathttp…
riots and killings before electionsbjp you are so predictable
"shoe hurled at singhamduring campaigning forin bihar
watch…"
introductory speech byat prashikshanabhiyan
prashikshanabhiyanfirst session by shree
"bjp development agenda for biharpolls
we will ban cow slaughter 
we will ban cow slaughter 
we will ban cow slaught…"
"arhar dal at rstoper kg 
onlyyrs back it wasrs a kgthat too was really high
where are my fekubjp bhakts"
"the purpose of training is to tighten up the slack toughen the body and polish the spirit
prashikshanabhiyan
…"
"gave a introductory speech prashikshanabhiyan 

bjpgujaratprashishanvarg"
kolkata bjps central leaders to knock on ec doorhindustan timeskolkata
bjps embedded journos running around patna worried why beef is not becoming an issue in bihar elections tch tch
"fast forward to 
shivraj singh chauhans pm
gharwapsi everywhere

bjp govt under modi was sane amp sincere …"
does bjp have its scholars who publish research from its own counterpoint who or ignoring the discourse to perpetuate …
ontalks abt y he is an attrctn amp abt rising intolrnce undr bjp amp abt modis past silnce
battleforbiharattacks bjp says that day is not far when the party will contest panchayat polls under the leadership of modi
an introductory speech given by shriatprashikshanabhiyan
lalu yadav says i will hang myself if reservation removed by bjplalu biharpolls biharelections bjp
lalu yadav says i will hang myself if reservation removed by bjplalu biharpolls biharelections bjp
nitish kumar takes a dig at pm modi and bjp in nawada bihar biharelections
sign of change in attitude of muslimstowardsbjp since lspolls najmaheptulla
allthese dirty games are planned by bjp and keep watching they will do the durring every upcoming elections
i hate sangeet som bt blame modi fr everythinn i think up bjp unit sud b dismantled
"zee news ke owner bjp ticket aspirant 
zee news achortihar releasedon bail 
zee news has no news only noise 
<U+0905><U+0938><U+0932><U+0940><U+092A><U+0924><U+094D><U+0930>…"
the intellect of the bjp votary where being backward in every faculty is worth it…
good initiative on swatchh bharat by a delhi police cop
pertinent prashikshanabhiyan more thanbig leaders of gujarat
"shoe hurled at singhamduring campaigning forin bihar
watch…"
daink jagran editor gives clean chit to bjp cms facing corruption charges how can one even compare vasundhara and shiv raj …
presstitutes would have made huge noise if bengaluru was ruled by bjp great ignorance as it ruled by their client congress…
pm bjp have strategy to polarise narendra modi has history rahul ga
police dressed as a farmersin disguise shame
more than anything else the antics of bjpsanghis has contributed most in creating damaging perceptions about hinduism
n congress have this joker to tackle bjps ace card
bjp has a grand hindu alliance planned for kerala too many thorns in the way…
"shoe hurled at singhamduring campaigning forin bihar
watch"
"picwhat bjp promised before elections
picwhat they delivered after elections"
sadhvi prachi accordingpresstitutes becomes vhp bjp as per convenience
up minister azam khan says state govt looking into cases of alleged land grab against bjp mla sangeet som azamsomfight
bjps cowprotecting sangeet som owned k shares in a meat planthas the company filings …
another expose by newsin rajasthan where mines have been given to bjp leaders and relatives bjps model of developmen…
"watchsec frombjptranslate 
beefcow meatgaumaans"
when opposition support campa cola amp in power not support digha bjp double standard shows a different b…
bjps embedded journos running around patna worried why beef is not becoming an issue in bihar elections tch tch
advani was not retired by bjp he was done in by sudheendra kulkarni amp jinnah
presstitutes would have made huge noise if bengaluru was ruled by bjp great ignorance as it ruled by their client congress…
"fast forward to 
shivraj singh chauhans pm
gharwapsi everywhere

bjp govt under modi was sane amp sincere …"
sp snatched seats fromas men rejected rejectedmaal attitude of bjp towards men men vote for menrights
tdp bjp and congress leaders talks about telangana bandhexpress tv
"time to rename prasar bharti to prachar bharti
every institute has been eroded by cong amp even more now by bjp http…"
bjps embedded journos running around patna worried why beef is not becoming an issue in bihar elections tch tch
