,scores,,,,,
309,0,0,,,,
310,0,0,,,,
311,2,1,,,,
312,1,1,,,,
313,-2,-1,,,,
314,1,1,,,,
315,0,0,,,,
316,-2,-1,,,,
317,1,1,,,,
318,0,0,,,,
319,0,0,,,,
320,0,0,,,,
321,1,1,,,,
322,1,1,,,,
323,0,0,,,,
324,0,0,,,,
325,-1,-1,,,,
326,1,1,,,,
327,0,0,,,,
328,1,1,,,,
329,0,0,,,,
330,0,0,,,,
331,0,0,,,,
332,0,0,,,,
333,-1,-1,,,,
334,2,1,,,,
335,0,0,,,,
336,0,0,,,,
337,0,0,,,,
338,0,0,,,,
339,0,0,,,,
340,-1,-1,,,,
341,-1,-1,,,,
342,0,0,,,,
343,1,1,,,,
344,0,0,,,,
345,0,0,,,,
346,0,0,,,,
347,0,0,,,,
348,2,1,,,,
349,0,0,,,,
350,0,0,,,,
351,0,0,,,,
352,0,0,,,,
353,1,1,,,,
354,0,0,,,,
355,1,1,,,,
356,-1,-1,,,,
357,-1,-1,,,,
358,0,0,,,,
359,1,1,,,,
360,0,0,,,,
361,0,0,,,,
362,-1,-1,,,,
363,1,1,,,,
364,1,1,,,,
365,-2,-1,,,,
366,1,1,,,,
367,0,0,,,,
368,-1,-1,,,,
369,0,0,,,,
370,0,0,,,,
371,0,0,,,,
372,1,1,,,,
373,2,1,,,,
374,0,0,,,,
375,0,0,,,,
376,0,0,,,,
377,0,0,,,,
378,1,1,,,,
379,-1,-1,,,,
380,0,0,,,,
381,0,0,,,,
382,0,0,,,,
383,-1,-1,,,,
384,0,0,,,,
385,-1,-1,,,,
386,1,1,,,,
387,1,1,,,,
388,0,0,,,,
389,0,0,,,,
390,-1,-1,,,,
391,0,0,,,,
392,0,0,,,,
393,2,1,,,,
394,0,0,,,,
395,1,1,,,,
396,0,0,,,,
397,-1,-1,,,,
398,0,0,,,,
399,1,1,,,,
400,0,0,,,,
401,0,0,,,,
402,1,1,,,,
403,0,0,,,,
404,-1,-1,,,,
405,0,0,,,,
406,1,1,,,,
407,-1,-1,,,,
408,-2,-1,,,,
409,0,0,,,,
410,-1,-1,,,,
411,0,0,,,,
412,0,0,,,,
413,0,0,,,,
414,0,0,,,,
415,0,0,,,,
416,-1,-1,,,,
417,0,0,,,,
418,-3,-1,,,,
419,0,0,,,,
420,-1,-1,,,,
421,-2,-1,,,,
422,-1,-1,,,,
423,0,0,,,,
424,1,1,,,,
425,0,0,,,,
426,-2,-1,,,,
427,1,1,,,,
428,0,0,,,,
429,0,0,,,,
430,-1,-1,,,,
431,2,1,,,,
432,0,0,,,,
433,0,0,,,,
434,0,0,,,,
435,0,0,,,,
436,0,0,,,,
437,0,0,,,,
438,-2,-1,,,,
439,-1,-1,,,,
440,0,0,,,,
441,2,1,,,,
442,0,0,,,,
443,-1,-1,,,,
444,-1,-1,,,,
445,0,0,,,,
446,0,0,,,,
447,0,0,,,,
448,0,0,,,,
449,0,0,,,,
450,0,0,,,,
451,-1,-1,,,,
452,0,0,,,,
453,0,0,,,,
454,-1,-1,,,,
455,0,0,,,,
456,-1,-1,,,,
457,0,0,,,,
458,0,0,,,,
459,-1,-1,,,,
460,0,0,,,,
461,0,0,,,,
462,0,0,,,,
463,0,0,,,,
464,0,0,,,,
465,-1,-1,,,,
466,1,1,,,,
467,0,0,,,,
468,0,0,,,,
469,0,0,,,,
470,0,0,,,,
471,0,0,,,,
472,-1,-1,,,,
473,0,0,,,,
474,0,0,,,,
475,1,1,,,,
476,0,0,,,,
477,0,0,,,,
478,1,1,,,,
479,0,0,,,,
480,1,1,,,,
481,-1,-1,,,,
482,0,0,,,,
483,1,1,,,,
484,-1,-1,,,,
485,0,0,,,,
486,-2,-1,,,,
487,0,0,,,,
488,0,0,,,,
489,-1,-1,,,,
490,1,1,,,,
491,0,0,,,,
492,1,1,,,,
493,0,0,,,,
494,0,0,,,,
495,0,0,,,,
496,-2,-1,,,,
497,2,1,,,,
498,2,1,,,,
499,0,0,,,,
500,0,0,,,,
501,0,0,,,,
502,0,0,,,,
503,-1,-1,,,,
504,-1,-1,,,,
505,0,0,,,,
506,0,0,,,,
507,0,0,,,,
508,0,0,,,,
509,0,0,,,,
510,0,0,,,,
511,0,0,,,,
512,1,1,,,,
513,0,0,,,,
514,0,0,,,,
515,-1,-1,,,,
516,0,0,,,,
517,0,0,,,,
518,0,0,,,,
519,-1,-1,,,,
520,2,1,,,,
521,0,0,,,,
522,0,0,,,,
523,0,0,,,,
524,2,1,,,,
525,0,0,,,,
526,0,0,,,,
527,0,0,,,,
528,-1,-1,,,,
529,1,1,,,,
530,-2,-1,,,,
531,1,1,,,,
532,0,0,,,,
533,1,1,,,,
534,0,0,,,,
535,0,0,,,,
536,-1,-1,,,,
537,1,1,,,,
538,0,0,,,,
