,scores,
498,1,1
499,-1,-1
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,-3,-1
508,0,0
509,0,0
510,0,0
511,1,1
512,0,0
513,0,0
514,0,0
515,0,0
516,-2,-1
517,1,1
518,1,1
519,-1,-1
520,-1,-1
521,0,0
522,0,0
523,-3,-1
524,-1,-1
525,0,0
526,-1,-1
527,1,1
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,1,1
534,-1,-1
535,0,0
536,1,1
537,0,0
538,0,0
539,1,1
540,0,0
541,2,1
542,0,0
543,1,1
544,0,0
545,0,0
546,0,0
547,1,1
548,0,0
549,0,0
550,-1,-1
551,0,0
552,1,1
553,0,0
554,0,0
555,3,1
556,1,1
557,1,1
558,2,1
559,-1,-1
560,0,0
561,0,0
562,0,0
563,0,0
564,1,1
565,0,0
566,0,0
567,0,0
568,0,0
569,-2,-1
570,1,1
571,0,0
572,0,0
573,0,0
574,0,0
575,0,0
576,0,0
577,2,1
578,0,0
579,0,0
580,0,0
581,1,1
582,-1,-1
583,0,0
584,0,0
585,2,1
586,-1,-1
587,0,0
588,1,1
589,2,1
590,-1,-1
591,0,0
592,0,0
593,0,0
594,0,0
595,1,1
596,1,1
597,0,0
598,1,1
599,0,0
600,0,0
601,-1,-1
602,0,0
603,0,0
604,0,0
605,-2,-1
606,0,0
607,-1,-1
608,0,0
609,1,1
610,0,0
611,1,1
612,1,1
613,0,0
614,0,0
615,1,1
616,0,0
617,-2,-1
618,0,0
619,1,1
620,3,1
621,1,1
622,-1,-1
623,0,0
624,1,1
625,1,1
626,0,0
627,2,1
628,0,0
629,-1,-1
630,1,1
631,0,0
632,0,0
633,1,1
634,2,1
635,0,0
636,2,1
637,0,0
638,0,0
639,0,0
640,-2,-1
641,0,0
642,-1,-1
643,-1,-1
644,0,0
645,0,0
646,0,0
647,0,0
648,2,1
649,-1,-1
650,-1,-1
651,-1,-1
652,-1,-1
653,0,0
654,1,1
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,-1,-1
661,0,0
662,0,0
663,-2,-1
664,0,0
665,0,0
666,0,0
667,-2,-1
668,1,1
669,-2,-1
670,1,1
671,1,1
672,0,0
673,1,1
674,0,0
675,0,0
676,0,0
677,1,1
678,0,0
679,0,0
680,1,1
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,1,1
688,0,0
689,2,1
690,0,0
691,2,1
692,1,1
693,1,1
694,0,0
695,1,1
696,0,0
697,0,0
698,1,1
699,1,1
700,-1,-1
701,0,0
702,0,0
703,1,1
704,-1,-1
705,0,0
706,1,1
707,0,0
708,0,0
709,0,0
710,0,0
711,1,1
712,-1,-1
713,0,0
714,0,0
715,0,0
716,-1,-1
717,-2,-1
718,1,1
719,0,0
720,0,0
721,0,0
722,1,1
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,2,1
735,1,1
736,1,1
737,0,0
738,0,0
739,0,0
740,1,1
741,0,0
742,2,1
743,-1,-1
744,0,0
745,0,0
746,1,1
747,0,0
748,0,0
749,0,0
750,-2,-1
751,0,0
752,0,0
753,0,0
754,0,0
755,-1,-1
756,1,1
757,0,0
758,1,1
759,-1,-1
760,1,1
761,0,0
762,0,0
763,0,0
764,-2,-1
765,0,0
766,0,0
767,-2,-1
768,-2,-1
769,-1,-1
770,1,1
771,1,1
772,-1,-1
773,1,1
774,0,0
775,0,0
776,0,0
777,1,1
778,1,1
779,-1,-1
780,0,0
781,1,1
782,0,0
783,0,0
784,0,0
785,1,1
786,0,0
787,2,1
788,-1,-1
789,0,0
790,-1,-1
791,-2,-1
792,1,1
793,0,0
794,1,1
795,1,1
796,0,0
797,0,0
798,0,0
799,2,1
800,0,0
801,1,1
802,1,1
803,0,0
804,1,1
805,-1,-1
806,1,1
807,0,0
808,0,0
809,-1,-1
810,0,0
811,0,0
812,1,1
813,0,0
814,-1,-1
815,0,0
816,-1,-1
817,-1,-1
818,0,0
819,0,0
820,-1,-1
821,0,0
822,0,0
823,1,1
824,0,0
825,0,0
826,-3,-1
827,2,1
828,0,0
829,0,0
830,2,1
831,-1,-1
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,2,1
843,-1,-1
844,1,1
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,-2,-1
855,-1,-1
856,1,1
857,0,0
858,2,1
859,2,1
860,0,0
861,1,1
862,-1,-1
863,0,0
864,0,0
865,-1,-1
866,0,0
867,0,0
868,-1,-1
869,0,0
870,1,1
871,0,0
872,0,0
873,0,0
874,-1,-1
875,-1,-1
876,0,0
877,0,0
878,0,0
879,-1,-1
880,0,0
